name,kind,outcome,message,package,compile_cost,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,index_reduced,n_blocks,n_coupled,largest_coupled,n_connect_eq,n_flow_eq,n_event_conditions,n_discrete_updates,has_arrays,max_depth,n_functions
Modelica.Blocks.Math.BooleanChange,Component,success,,Blocks,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,1,0
Modelica.Blocks.Math.BooleanToInteger,Component,success,,Blocks,fast,0,0,0,2,3,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,0
Modelica.Blocks.Math.BooleanToReal,Component,success,,Blocks,fast,1,0,0,1,3,ok,,1,0,0,0,0,2,0,false,1,0
Modelica.Blocks.Math.ContinuousMean,Component,success,,Blocks,fast,2,1,0,1,5,ok,,2,0,0,0,0,3,0,false,1,0
Modelica.Blocks.Math.ContinuousSignalExtrema,Component,success,,Blocks,fast,1,1,0,5,8,ok,,1,0,0,0,0,8,4,false,1,0
Modelica.Blocks.Math.Cos,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,1
Modelica.Blocks.Math.Cosh,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,1
Modelica.Blocks.Math.Division,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Math.Edge,Component,success,,Blocks,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,1,0
Modelica.Blocks.Math.Exp,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,1
Modelica.Blocks.Math.Exponentiation,Component,success,,Blocks,fast,1,0,0,0,1,ok,,1,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Math.Feedback,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Math.Gain,Component,success,,Blocks,fast,1,0,0,0,1,ok,,1,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Math.Harmonic,Component,success,,Blocks,fast,22,2,7,3,43,ok,,22,0,0,11,0,13,4,false,2,3
Modelica.Blocks.Math.IntegerChange,Component,success,,Blocks,fast,0,0,0,1,1,error:empty system: no equations or unknowns,,,,,0,0,0,1,false,1,0
Modelica.Blocks.Math.IntegerToBoolean,Component,success,,Blocks,fast,0,0,0,2,2,error:empty system: no equations or unknowns,,,,,0,0,2,1,false,1,0
Modelica.Blocks.Math.IntegerToReal,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Math.InverseBlockConstraints,Component,success,,Blocks,fast,2,0,0,0,0,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Math.LinearDependency,Component,success,,Blocks,fast,1,0,0,0,3,ok,,1,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Math.Log,Component,success,,Blocks,fast,1,0,0,0,1,ok,,1,0,0,0,0,0,0,false,0,1
Modelica.Blocks.Math.Log10,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,1
Modelica.Blocks.Math.MatrixGain,Component,success,,Blocks,fast,1,0,0,0,3,singular,singular,,,,0,0,0,0,false,0,0
Modelica.Blocks.Math.Max,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Math.Mean,Component,success,,Blocks,fast,2,1,0,2,10,ok,,2,0,0,0,0,2,2,false,1,0
Modelica.Blocks.Math.Min,Component,success,,Blocks,fast,1,0,0,0,0,ok,,1,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Math.MinMax,Component,success,,Blocks,fast,2,0,0,0,2,ok,,2,0,0,0,0,0,0,false,0,0
Modelica.Blocks.Math.MultiProduct,Component,success,,Blocks,fast,1,0,0,0,3,ok,,1,0,0,0,0,1,0,false,0,0
Modelica.Blocks.Math.MultiSum,Component,success,,Blocks,fast,1,0,0,0,3,ok,,1,0,0,0,0,1,0,false,0,0
Modelica.Blocks.Math.MultiSwitch,Component,success,,Blocks,fast,1,0,0,2,6,ok,,1,0,0,0,0,2,1,false,1,1
Modelica.Blocks.Math.PolarToRectangular,Component,success,,Blocks,fast,2,0,0,0,0,ok,,2,0,0,0,0,0,0,false,0,2
