name,kind,outcome,message,secs,n_equations,n_states,n_algebraic,n_discrete,n_parameters,structural,n_blocks,n_coupled,largest_coupled,has_arrays,max_depth,n_functions
Modelica.Blocks.Logical.Nor,Component,success,,0.210,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Logical.Not,Component,success,,0.212,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Logical.OnOffController,Component,success,,0.210,0,0,0,2,4,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.Or,Component,success,,0.209,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Logical.Pre,Component,success,,0.212,0,0,0,1,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.RSFlipFlop,Component,success,,0.214,2,0,0,10,3,singular,,,,false,2,0
Modelica.Blocks.Logical.Switch,Component,success,,0.208,1,0,0,1,1,ok,1,0,0,false,1,0
Modelica.Blocks.Logical.TerminateSimulation,Component,success,,0.213,0,0,0,1,2,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Logical.Timer,Component,success,,0.212,1,0,0,2,3,ok,1,0,0,false,1,0
Modelica.Blocks.Logical.TriggeredTrapezoid,Component,success,,0.215,1,0,0,4,10,ok,1,0,0,false,1,0
Modelica.Blocks.Logical.Xor,Component,success,,0.210,0,0,0,1,0,error:empty system: no equations or unknowns,,,,false,0,0
Modelica.Blocks.Logical.ZeroCrossing,Component,success,,0.210,0,0,0,4,4,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Math.Abs,Component,success,,0.216,1,0,0,1,2,ok,1,0,0,false,1,0
Modelica.Blocks.Math.Acos,Component,success,,0.210,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.Add,Component,success,,0.208,1,0,0,0,2,ok,1,0,0,false,0,0
Modelica.Blocks.Math.Add3,Component,success,,0.209,1,0,0,0,3,ok,1,0,0,false,0,0
Modelica.Blocks.Math.Asin,Component,success,,0.213,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.Atan,Component,success,,0.215,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.Atan2,Component,success,,0.212,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.BooleanChange,Component,success,,0.206,0,0,0,1,1,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Math.BooleanToInteger,Component,success,,0.205,0,0,0,2,3,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Math.BooleanToReal,Component,success,,0.212,1,0,0,1,3,ok,1,0,0,false,1,0
Modelica.Blocks.Math.ContinuousMean,Component,success,,0.215,2,1,0,1,5,ok,2,0,0,false,1,0
Modelica.Blocks.Math.ContinuousSignalExtrema,Component,success,,0.216,1,1,0,5,8,ok,1,0,0,false,1,0
Modelica.Blocks.Math.Cos,Component,success,,0.214,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.Cosh,Component,success,,0.222,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.Division,Component,success,,0.242,1,0,0,0,0,ok,1,0,0,false,0,0
Modelica.Blocks.Math.Edge,Component,success,,0.208,0,0,0,1,1,error:empty system: no equations or unknowns,,,,false,1,0
Modelica.Blocks.Math.Exp,Component,success,,0.214,1,0,0,0,0,ok,1,0,0,false,0,1
Modelica.Blocks.Math.Exponentiation,Component,success,,0.208,1,0,0,0,1,ok,1,0,0,false,0,0
Modelica.Blocks.Math.Feedback,Component,success,,0.204,1,0,0,0,0,ok,1,0,0,false,0,0
